idx	name	new_name	smiles	inchikey
23	N-[(2R,3S)-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-2-(methylaminomethyl)-6-oxo-2,3,4,7-tetrahydro-1,5-benzoxazonin-9-yl]-3-(4-morpholinyl)propanamide	N-[(2R,3S)-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-2-(methylaminomethyl)-6-oxo-2,3,4,7-tetrahydro-1,5-benzoxazonin-9-yl]-3-(4-morpholinyl)propanamide	C[C@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)CCN3CCOCC3)O[C@H]1CNC)[C@H](C)CO	QKNVOCCOOAXREN-SVMVAKDDSA-N
24	FGIN-1-27	FGIN-1-27	CCCCCCN(CCCCCC)C(=O)CC1=C(NC2=CC=CC=C21)C3=CC=C(C=C3)F	VUWXAQFLTSBUDB-UHFFFAOYSA-N
25	1-[[(2S,3R)-8-(dimethylamino)-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-3,4-dihydro-2H-1,5-benzoxazocin-2-yl]methyl]-1-methyl-3-propan-2-ylurea	1-[[(2S,3R)-8-(dimethylamino)-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-3,4-dihydro-2H-1,5-benzoxazocin-2-yl]methyl]-1-methyl-3-propan-2-ylurea	C[C@@H]1CN(C(=O)C2=C(C=CC(=C2)N(C)C)O[C@@H]1CN(C)C(=O)NC(C)C)[C@H](C)CO	GIKJWVQVMSIYNX-JXXFODFXSA-N
26	761439-42-3	NVP-TAE684	CC(C)S(=O)(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCC(CC4)N5CCN(CC5)C)OC	QQWUGDVOUVUTOY-UHFFFAOYSA-N
27	(3S,6S,9S,12R)-3-[(2R)-butan-2-yl]-6-[(1-methoxy-3-indolyl)methyl]-9-(6-oxooctyl)-1,4,7,10-tetrazabicyclo[10.4.0]hexadecane-2,5,8,11-tetrone	(3S,6S,9S,12R)-3-[(2R)-butan-2-yl]-6-[(1-methoxy-3-indolyl)methyl]-9-(6-oxooctyl)-1,4,7,10-tetrazabicyclo[10.4.0]hexadecane-2,5,8,11-tetrone	CC[C@@H](C)[C@H]1C(=O)N2CCCC[C@@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CC3=CN(C4=CC=CC=C43)OC)CCCCCC(=O)CC	JWOGUUIOCYMBPV-VWIQTCEGSA-N
28	Purmorphamine	Purmorphamine	C1CCC(CC1)N2C=NC3=C2N=C(N=C3NC4=CC=C(C=C4)N5CCOCC5)OC6=CC=CC7=CC=CC=C76	FYBHCRQFSFYWPY-UHFFFAOYSA-N
29	Decitabine	decitabine	C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O	XAUDJQYHKZQPEU-KVQBGUIXSA-N
30	Tivozanib	tivozanib	CC1=CC(=NO1)NC(=O)NC2=C(C=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC)Cl	SPMVMDHWKHCIDT-UHFFFAOYSA-N
31	MK-2206	MK-2206	C1CC(C1)(C2=CC=C(C=C2)C3=C(C=C4C(=N3)C=CN5C4=NNC5=O)C6=CC=CC=C6)N	ULDXWLCXEDXJGE-UHFFFAOYSA-N
32	NA	NA	C[C@H]([C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](C(C)C)C(=O)N[C@]1(CCC/C=C\CCC[C@@](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC1=O)CCCNC(=N)N)CC(=O)N)CC2=CN=CN2)(C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)N)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)C)O	MKWLQYDUWJBEKU-LWSJDIAFSA-N
33	16beta-Bromoandrosterone	16beta-Bromoandrosterone	C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3C[C@@H](C4=O)Br)C)O	CWVMWSZEMZOUPC-RWUIUEHLSA-N
34	1-[(2R,3S)-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-2-[[methyl(methylsulfonyl)amino]methyl]-6-oxo-2,3,4,7-tetrahydro-1,5-benzoxazonin-9-yl]-3-propan-2-ylurea	1-[(2R,3S)-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-2-[[methyl(methylsulfonyl)amino]methyl]-6-oxo-2,3,4,7-tetrahydro-1,5-benzoxazonin-9-yl]-3-propan-2-ylurea	C[C@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)NC(C)C)O[C@H]1CN(C)S(=O)(=O)C)[C@H](C)CO	IDOMJCFPTXQKSJ-YRNRMSPPSA-N
35	Palbociclib	palbociclib	CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C	AHJRHEGDXFFMBM-UHFFFAOYSA-N
36	thapsigargin	Thapsigargin	CCCCCCCC(=O)O[C@H]1[C@H]2C(=C([C@@H]1OC(=O)/C(=C\C)/C)C)[C@H]3[C@]([C@H](C[C@]2(C)OC(=O)C)OC(=O)CCC)([C@](C(=O)O3)(C)O)O	IXFPJGBNCFXKPI-FSIHEZPISA-N
37	4-acetamido-N-(2-amino-5-thiophen-2-ylphenyl)-1-piperidinecarboxamide	4-acetamido-N-(2-amino-5-thiophen-2-ylphenyl)-1-piperidinecarboxamide	CC(=O)NC1CCN(CC1)C(=O)NC2=C(C=CC(=C2)C3=CC=CS3)N	YDUSCKFRHARVGP-UHFFFAOYSA-N
38	SNS-032	SNS-032	CC(C)(C)C1=CN=C(O1)CSC2=CN=C(S2)NC(=O)C3CCNCC3	OUSFTKFNBAZUKL-UHFFFAOYSA-N
39	OSU-03012	OSU-03012	C1=CC=C2C(=C1)C=CC3=C2C=CC(=C3)C4=CC(=NN4C5=CC=C(C=C5)NC(=O)CN)C(F)(F)F	YULUCECVQOCQFQ-UHFFFAOYSA-N
40	Necrostatin-1	Necrostatin-1	CN1C(=O)C(NC1=S)CC2=CNC3=CC=CC=C32	TXUWMXQFNYDOEZ-UHFFFAOYSA-N
41	BI 2536	BI-2536	CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C	XQVVPGYIWAGRNI-JOCHJYFZSA-N
42	(2S)-2-amino-3-(2-boronoethylthio)propanoic acid	(2S)-2-amino-3-(2-boronoethylthio)propanoic acid	B(CCSC[C@H](C(=O)O)N)(O)O	OTJHLDXXJHAZTN-SCSAIBSYSA-N
43	NA	NA	CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C.C1CC(C1)(C(=O)O)C(=O)O.[Pt]	XXJUTLLGOAXCMO-RMRYJAPISA-N
44	NA	NA	CCC1CCC2[C@@H](C([C@H](C3(O2)CC[C@H](C(O3)C[C@H](C)O)C)C)OC(=O)/C=C/[C@H]([C@@H]([C@H](C(=O)[C@@H]([C@H]([C@@H](C(=O)[C@@]([C@@H]([C@H](C/C=C/C=C1)C)O)(C)O)C)O)C)C)O)C)C	MNULEGDCPYONBU-PAMDCEDJSA-N
45	gemcitabine	gemcitabine	C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F	SDUQYLNIPVEERB-QPPQHZFASA-N
46	LY2183240	LY2183240	CN(C)C(=O)N1C(=NN=N1)CC2=CC=C(C=C2)C3=CC=CC=C3	GZNIYOXWFCDBBJ-UHFFFAOYSA-N
47	CHEMBL436817	CHEMBL436817	C1=CC(=C(C=C1NC2=C(C=NC3=C(C=C(C=C32)NCC4=CN=CN4)Cl)C#N)Cl)F	ONXROKMQGCSOMG-UHFFFAOYSA-N
48	Serdemetan	Serdemetan	C1=CC=C2C(=C1)C(=CN2)CCNC3=CC=C(C=C3)NC4=CC=NC=C4	CEGSUKYESLWKJP-UHFFFAOYSA-N
49	NA	NA	CC(C)N1CCC(CC1)NC2=NC(=NC3=CC(=C(C=C32)OC)OCCCN4CCCC4)C5CCCCC5.C1CC(C1)(C(=O)O)C(=O)O.[Pt]	CKPTTXTWIAAUBG-UHFFFAOYSA-N
50	Ixazomib	ixazomib	B([C@H](CC(C)C)NC(=O)CNC(=O)C1=C(C=CC(=C1)Cl)Cl)(O)O	MXAYKZJJDUDWDS-LBPRGKRZSA-N
51	Panobinostat	panobinostat	CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)/C=C/C(=O)NO	FPOHNWQLNRZRFC-ZHACJKMWSA-N
52	cimetidine	cimetidine	CC1=C(N=CN1)CSCCNC(=NC)NC#N	AQIXAKUUQRKLND-UHFFFAOYSA-N
53	391210-10-9	PD0325901	C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O	SUDAHWBOROXANE-SECBINFHSA-N
54	tacrolimus	tacrolimus	C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC	QJJXYPPXXYFBGM-LFZNUXCKSA-N
55	1-[[(2R,3S)-9-[[(cyclohexylamino)-oxomethyl]amino]-5-[(2S)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-2,3,4,7-tetrahydro-1,5-benzoxazonin-2-yl]methyl]-1-methyl-3-(1-naphthalenyl)urea	1-[[(2R,3S)-9-[[(cyclohexylamino)-oxomethyl]amino]-5-[(2S)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-2,3,4,7-tetrahydro-1,5-benzoxazonin-2-yl]methyl]-1-methyl-3-(1-naphthalenyl)urea	C[C@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)NC3CCCCC3)O[C@H]1CN(C)C(=O)NC4=CC=CC5=CC=CC=C54)[C@@H](C)CO	ICEMUJZXENLAMO-TWVHRYOLSA-N
56	CP-724714	CP724714	CC1=NC=C(C=C1)OC2=C(C=C(C=C2)NC3=NC=NC4=C3C=C(C=C4)/C=C/CNC(=O)COC)C	LLVZBTWPGQVVLW-SNAWJCMRSA-N
57	Dinaciclib	Dinaciclib	CCC1=C2N=C(C=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])N4CCCC[C@H]4CCO	PIMQWRZWLQKKBJ-SFHVURJKSA-N
58	GDC-0879	GDC-0879	C1C/C(=N/O)/C2=C1C=C(C=C2)C3=CN(N=C3C4=CC=NC=C4)CCO	DEZZLWQELQORIU-PYCFMQQDSA-N
59	TW-37	TW_37	CC(C)C1=CC=CC=C1CC2=C(C(=C(C(=C2)C(=O)NC3=CC=C(C=C3)S(=O)(=O)C4=CC=CC=C4C(C)(C)C)O)O)O	PQAPVTKIEGUPRN-UHFFFAOYSA-N
60	Fedratinib	fedratinib	CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)OCCN4CCCC4	JOOXLOJCABQBSG-UHFFFAOYSA-N
61	NA	NA	CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C.CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C	QINHYEYJGXSILL-KSWCPAATSA-N
62	Palmostatin B	Palmostatin B	CCCCCCCCCC[C@H]1[C@@H](OC1=O)CCC2=CC(=C(C=C2)OC)OC	ASVWFAVGLYUDFD-PMACEKPBSA-N
63	821794-92-7	FMK	CC1=CC=C(C=C1)C2=C(N(C3=C2C(=NC=N3)N)CCCO)C(=O)CF	IKLGYJACVCXYIL-UHFFFAOYSA-N
64	N-[(2S,3S)-2-[[[(cyclohexylamino)-oxomethyl]-methylamino]methyl]-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-3,4-dihydro-2H-1,5-benzoxazocin-8-yl]-2-(1-methyl-3-indolyl)acetamide	N-[(2S,3S)-2-[[[(cyclohexylamino)-oxomethyl]-methylamino]methyl]-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-3,4-dihydro-2H-1,5-benzoxazocin-8-yl]-2-(1-methyl-3-indolyl)acetamide	C[C@H]1CN(C(=O)C2=C(C=CC(=C2)NC(=O)CC3=CN(C4=CC=CC=C43)C)O[C@@H]1CN(C)C(=O)NC5CCCCC5)[C@H](C)CO	ZSZRFUWYOKUGNE-INEJIFKHSA-N
65	Lenalidomide	lenalidomide	C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N	GOTYRUGSSMKFNF-UHFFFAOYSA-N
66	BMS-345541	BMS-345541	CC1=CC2=C(C=C1)N=C(C3=NC=C(N23)C)NCCN.Cl	MIDKPVLYXNLFGZ-UHFFFAOYSA-N
67	NA	NA	CCCC[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@]2(CCC/C=C\CCC[C@](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CCCNC(=N)N)CC(C)C)[C@@H](C)O)(C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC3=CN=CN3)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)C)C	HHDWUYJENPRCSP-UTTPPHFYSA-N
68	N9-ISOPROPYL-OLOMOUCINE	N9-ISOPROPYL-OLOMOUCINE	CC(C)N1C=NC2=C1N=C(N=C2NCC3=CC=CC=C3)NCCO	WHDJEAZLMYPLGL-UHFFFAOYSA-N
69	Brivanib	Brivanib	CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NN4C3=C(C(=C4)OC[C@@H](C)O)C	WCWUXEGQKLTGDX-LLVKDONJSA-N
70	CHEMBL2058177	CHEMBL2058177	COC1=CC=C(C=C1)[C@]23[C@@H]([C@H]([C@H]([C@]2(C4=C(C=C(C=C4O3)OC)OC)O)O)C(=O)NOC)C5=CC=CC=C5	KLSIFOJPWJBRFH-GWNOIRNCSA-N
71	Bendamustine	bendamustine	CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O	YTKUWDBFDASYHO-UHFFFAOYSA-N
72	280744-09-4	SB216763	CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl	JCSGFHVFHSKIJH-UHFFFAOYSA-N
73	NA	NA	C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC.CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@](C3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O	FVHADEAGSCEIAL-GSSXEBOPSA-N
74	CIL56	CIL56	C1CCN(CC1)S(=O)(=O)C2=CC3=C(C=C2)C4=C(C3=NO)C=C(C=C4)S(=O)(=O)N5CCCCC5	XYZXEEIUKQGUHB-UHFFFAOYSA-N
75	N-[2-methyl-5-[2-oxo-9-(1H-pyrazol-4-yl)-1-benzo[h][1,6]naphthyridinyl]phenyl]-2-propenamide	QL-X-138	CC1=C(C=C(C=C1)N2C(=O)C=CC3=CN=C4C=CC(=CC4=C32)C5=CNN=C5)NC(=O)C=C	JMVDIGHUQAXWIE-UHFFFAOYSA-N
76	BX-912	BX-912	C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCC4=CN=CN4)Br	DMMILYKXNCVKOJ-UHFFFAOYSA-N
77	Rigosertib	Rigosertib	COC1=C(C=C(C=C1)CS(=O)(=O)/C=C/C2=C(C=C(C=C2OC)OC)OC)NCC(=O)O	OWBFCJROIKNMGD-BQYQJAHWSA-N
78	NA	NA	C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC.C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F	DCBJGYKARXWKFH-NLHWDEFFSA-N
79	Neratinib	neratinib	CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)/C=C/CN(C)C	JWNPDZNEKVCWMY-VQHVLOKHSA-N
80	Parbendazole	Parbendazole	CCCCC1=CC2=C(C=C1)N=C(N2)NC(=O)OC	YRWLZFXJFBZBEY-UHFFFAOYSA-N
81	SCHEMBL11942935	SCHEMBL11942935	C[C@]12CC[C@@H]3[C@H]4CC[C@@H](C[C@@H]4CC[C@H]3[C@@H]1CC=C2C5=CC6=C(C=C5)C=NC=C6)N(C)C	ZIUQYYBAEJBLBL-MIQXUSPNSA-N
82	CHEMBL3183639	CHEMBL3183639	C[C@H]1C[C@@H](OC1=O)[C@H]([C@H](C2=C(C3=C(C=C2)[C@@H]4C[C@H]([C@]56[C@@H](OC[C@H](O5)C[C@@]6([C@H]4C3=O)C)O)Br)C)C(Cl)Cl)O	ZZCVHHDIBFSYFY-RDPHNNICSA-N
83	2-[(2S,5R,6R)-6-(hydroxymethyl)-5-[[2-(4-morpholinyl)-1-oxoethyl]amino]-2-oxanyl]-N-[(1R)-1-phenylethyl]acetamide	2-[(2S,5R,6R)-6-(hydroxymethyl)-5-[[2-(4-morpholinyl)-1-oxoethyl]amino]-2-oxanyl]-N-[(1R)-1-phenylethyl]acetamide	C[C@H](C1=CC=CC=C1)NC(=O)C[C@@H]2CC[C@H]([C@@H](O2)CO)NC(=O)CN3CCOCC3	VZQKOZAJNGTVKC-MDNKFWRPSA-N
84	ML311	ML311	CCN1CCN(CC1)C(C2=CC=C(C=C2)C(F)(F)F)C3=C(C4=C(C=CC=N4)C=C3)O	NGAPBLRRJSKIRT-UHFFFAOYSA-N
85	56990-57-9	NSC-87877	C1=CC2=C(C(=O)/C(=N/NC3=CC4=C(C=C3)C=C(C=C4)S(=O)(=O)O)/C=C2S(=O)(=O)O)N=C1	BIQBDHSYQMHHPU-CJLVFECKSA-N
86	749872-43-3	749872-43-3	CN(C1CCS(=O)(=O)C1)C(=O)COC(=O)/C=C/C2=CC(=CC=C2)[N+](=O)[O-]	URVRJYLSUVXWBC-AATRIKPKSA-N
87	SMR000198998	SMR000198998	CC(=O)N(C1=CC=C(C2=CC=CC=C21)OC(=O)C)S(=O)(=O)C3=CC(=C(C=C3)OC)[N+](=O)[O-]	ODWYCSNXCTXGLE-UHFFFAOYSA-N
